@@@0001	sound	cmpci	CMD8338	C3D Audio	HAS_OPL3|HAS_DMA16
AZT3001	joystick	unknown	Aztech	AZT3000 Game Port	unknown
AZT4001	modem	unknown	Aztech	AZT3000 Modem	unknown
AZT5001	unknown	unknown	Aztech	AZT3000	EEPROM	unknown	
BRI0200	unknown	unknown	Boca	Complete Office Communicator (audio)	unknown
BRI0A49	unknown	unknown	Boca	Complete Office Communicator 14.4	unknown
BRI1001	unknown	unknown	Boca Research	BOCALANcard	unknown
BTU3840	ethernet	ne	Boca Research	Lancard 2000 plus combo	unknown
BUS0042	unknown	unknown	BusLogic	MultiMaster SCSI Host	unknown
BUS4201	unknown	unknown	BusLogic	MultiMaster EISA SCSI Host	unknown
CON0071	unknown	unknown	CONTEC	C-NET(AT)P Adapter	unknown
CON0072	unknown	unknown	CONTEC	C-NET(AT)P Adapter	unknown
CPL05F4	unknown	unknown	Compal	562DU	unknown
CPQ0011	unknown	unknown	Compaq	1024	unknown
CPQ0012	unknown	unknown	Compaq	1024	unknown
CPQ0013	unknown	unknown	Compaq	1024	unknown
CPQ0014	unknown	unknown	Compaq	1024	unknown
CPQ0015	unknown	unknown	Compaq	1024	unknown
CPQ0016	unknown	unknown	Compaq	1024	unknown
CPQ0017	unknown	unknown	Compaq	Presario 140	unknown
CPQ0018	unknown	unknown	Compaq	Presario 140	unknown
CPQ0019	unknown	unknown	Compaq	Presario 140	unknown
CPQ001A	unknown	unknown	Compaq	Presario 140	unknown
CPQ0020	unknown	unknown	Compaq	Presario 140	unknown
CPQ0021	unknown	unknown	Compaq	Presario 140	unknown
CPQ0022	unknown	unknown	Compaq	151FS	unknown
CPQ0023	unknown	unknown	Compaq	151FS	unknown
CPQ0024	unknown	unknown	Compaq	151FS	unknown
CPQ0025	unknown	unknown	Compaq	151FS	unknown
CPQ0026	unknown	unknown	Compaq	151FS	unknown
CPQ0027	unknown	unknown	Compaq	151FS	unknown
CPQ0028	unknown	unknown	Compaq	151FS	unknown
CPQ0029	unknown	unknown	Compaq	Presario 150	unknown
CPQ002A	unknown	unknown	Compaq	Presario 150	unknown
CPQ002B	unknown	unknown	Compaq	Presario 150	unknown
CPQ002C	unknown	unknown	Compaq	Presario 150	unknown
CPQ002D	unknown	unknown	Compaq	171FS	unknown
CPQ002E	unknown	unknown	Compaq	171FS	unknown
CPQ002F	unknown	unknown	Compaq	171FS	unknown
CPQ0030	unknown	unknown	Compaq	171FS	unknown
CPQ0031	unknown	unknown	Compaq	171FS	unknown
CPQ0032	unknown	unknown	Compaq	171FS	unknown
CPQ0033	unknown	unknown	Compaq	171FS	unknown
CPQ0040	unknown	unknown	Compaq	QVision 172	unknown
CPQ0041	unknown	unknown	Compaq	QVision 172	unknown
CPQ0042	unknown	unknown	Compaq	QVision 172	unknown
CPQ0043	unknown	unknown	Compaq	QVision 200	unknown
CPQ0044	unknown	unknown	Compaq	QVision 200	unknown
CPQ0045	unknown	unknown	Compaq	QVision 200	unknown
CPQ0046	unknown	unknown	Compaq	QVision 200	unknown
CPQ0047	unknown	unknown	Compaq	QVision 200	unknown
CPQ0048	unknown	unknown	Compaq	QVision 200	unknown
CPQ0049	unknown	unknown	Compaq	QVision 200	unknown
CPQ0100	unknown	unknown	Compaq	1024	unknown
CPQ0146	unknown	unknown	Compaq	1024	unknown
CPQ0147	unknown	unknown	Compaq	1024	unknown
CPQ0346	unknown	unknown	Compaq	151FS	unknown
CPQ0347	unknown	unknown	Compaq	151FS	unknown
CPQ0348	unknown	unknown	Compaq	151FS	unknown
CPQ0349	unknown	unknown	Compaq	151FS	unknown
CPQ034A	unknown	unknown	Compaq	151FS	unknown
CPQ034B	unknown	unknown	Compaq	151FS	unknown
CPQ0546	unknown	unknown	Compaq	171FS	unknown
CPQ0547	unknown	unknown	Compaq	171FS	unknown
CPQ0548	unknown	unknown	Compaq	171FS	unknown
CPQ0549	unknown	unknown	Compaq	171FS	unknown
CPQ0746	unknown	unknown	Compaq	Presario 140	unknown
CPQ0747	unknown	unknown	Compaq	Presario 140	unknown
CPQ0846	unknown	unknown	Compaq	Presario 140	unknown
CPQ0847	unknown	unknown	Compaq	Presario 140	unknown
CPQ0848	unknown	unknown	Compaq	Presario 140	unknown
CPQ0849	unknown	unknown	Compaq	Presario 140	unknown
CPQ084A	unknown	unknown	Compaq	Presario 140	unknown
CPQ084B	unknown	unknown	Compaq	Presario 140	unknown
CPQ084C	unknown	unknown	Compaq	Presario 140	unknown
CPQ084D	unknown	unknown	Compaq	Presario 140	unknown
CPQ0946	unknown	unknown	Compaq	Presario 150	unknown
CPQ0947	unknown	unknown	Compaq	Presario 150	unknown
CPQ0948	unknown	unknown	Compaq	Presario 150	unknown
CPQ0949	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A46	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A47	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A48	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A49	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A4A	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A4B	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A4C	unknown	unknown	Compaq	Presario 150	unknown
CPQ0A4D	unknown	unknown	Compaq	Presario 150	unknown
CPQ0D46	unknown	unknown	Compaq	140	unknown
CPQ0D47	unknown	unknown	Compaq	140	unknown
CPQ0D48	unknown	unknown	Compaq	140	unknown
CPQ0D49	unknown	unknown	Compaq	140	unknown
CPQ0D4A	unknown	unknown	Compaq	140	unknown
CPQ0D4B	unknown	unknown	Compaq	140	unknown
CPQ0D4C	unknown	unknown	Compaq	140	unknown
CPQ0D4D	unknown	unknown	Compaq	140	unknown
CPQ0F46	unknown	unknown	Compaq	150	unknown
CPQ0F47	unknown	unknown	Compaq	150	unknown
CPQ0F48	unknown	unknown	Compaq	150	unknown
CPQ0F49	unknown	unknown	Compaq	150	unknown
CPQ0F4A	unknown	unknown	Compaq	150	unknown
CPQ0F4B	unknown	unknown	Compaq	150	unknown
CPQ0F4C	unknown	unknown	Compaq	150	unknown
CPQ0F4D	unknown	unknown	Compaq	150	unknown
CPQ3001	unknown	unknown	Compaq	EISA Advanced VGA (AVGA)	unknown
CPQ3011	unknown	unknown	Compaq	QVision 1024/E	unknown
CPQ3111	unknown	unknown	Compaq	QVision 1024/E	unknown
CPQ3112	unknown	unknown	Compaq	QVision 1280/E	unknown
CPQ3122	unknown	unknown	Compaq	QVision 1280/I	unknown
CPQ4300	unknown	unknown	Compaq	Advanced ESDI	unknown
CPQ4410	unknown	unknown	Compaq	Integrated 32-Bit Fast-SCSI-2	unknown
CPQ4411	unknown	unknown	Compaq	EISA 32-Bit Fast-SCSI-2	unknown
CPQ4430	unknown	unknown	Compaq	Integrated 32-Bit Fast-Wide SCSI-2/E	unknown
CPQ4431	unknown	unknown	Compaq	32-Bit Fast-Wide SCSI-2/E	unknown
CPQ6001	unknown	unknown	Compaq	DualSpeed Token Ring (32-bit)	unknown
CPQ6002	unknown	unknown	Compaq	NetFlex-2 TR	unknown
CPQ6100	unknown	unknown	Compaq	NetFlex ENET/TR	unknown
CPQ6101	unknown	unknown	Compaq	NetFlex-2 ENET/TR	unknown
CPQ6200	unknown	unknown	Compaq	NetFlex-2 DualPort Ethernet	unknown
CPQ6300	unknown	unknown	Compaq	NetFlex-2 DualPort Token-Ring	unknown
CPQ9A83	unknown	unknown	Compaq	Deskpro XL Processor Board	unknown
CPQA050	unknown	unknown	Compaq	SCSI Controller	unknown
CPQA060	unknown	unknown	Compaq	Elite Ethernet	unknown
CPQA090	unknown	unknown	Compaq	SmartStation	unknown
CPQA0A0	unknown	unknown	Compaq	MiniStation/EN	unknown
CPQA0B0	unknown	unknown	Compaq	MiniStation/TR	unknown
CPQA0D2	modem	unknown	Compaq	Modem Audio(rev 1.0)	unknown
CPQA0D4	modem	unknown	Compaq	Modem Audio(rev 1.1)	unknown
CPQA0D5	unknown	unknown	Compaq	Audio	unknown
CPQA0D6	unknown	unknown	Compaq	Presario Bezel Volume Control	unknown
CPQA0D7	unknown	unknown	Compaq	Enhanced Keyboard	unknown
CPQA0D8	unknown	unknown	Compaq	PS/2 Port Mouse	unknown
CPQA0D9	unknown	unknown	Compaq	Communications Port	unknown
CPQA0DA	ide	unknown	Compaq	IDE Controller	unknown
CPQA0DB	unknown	unknown	Compaq	Floppy Disk Controller	unknown
CPQA0DE	unknown	unknown	Compaq	PCMCIA Controller	unknown
CPQA0DF	unknown	unknown	Compaq	Notebook Display (WD)	unknown
CPQA0E0	unknown	unknown	Compaq	ECP Printer Port	unknown
CPQA0E1	unknown	unknown	Compaq	TV Tuner	unknown
CPQA0E2	unknown	unknown	Compaq	TV Tuner	unknown
CPQA0E3	unknown	unknown	Compaq	Contura Integrated Ethernet	unknown
CPQA0E4	modem	unknown	Compaq	Modem Audio(rev 1.3)	unknown
CPQAE08	unknown	unknown	Compaq	Deskpro Thermal Sensor	unknown
CPQAE3D	unknown	unknown	Compaq	Touchpad Mouse (PS/2 Mouse)	unknown
CPQF120	unknown	unknown	Compaq	NetFlex-3/E Early Modular	unknown
CPQF140	unknown	unknown	Compaq	NetFlex-3/E Modular	unknown
CPQFA1B	unknown	unknown	Compaq	Deskpro 486/50 System Memory Board	unknown
CPQFD17	unknown	unknown	Compaq	SCSI Tape Adapter	unknown
CPX0301	unknown	unknown	Compex	ENET100-VG4 LAN Card	unknown
CRD0001	unknown	unknown	MVP288IV	28800bps	unknown
CRD0005	unknown	unknown	MVP144IV2	14400bps	unknown
CRD1001	unknown	unknown	MVP288XV	28800bps	unknown
CRD1005	unknown	unknown	MVP144XV2	14400bps	unknown
CRD0030	modem	unknown	Cardinal	MVP34I	unknown
CRS3200	unknown	unknown	Cisco	C320T FDDI EISA Network Adapter	unknown
CRS3204	unknown	unknown	Cisco	CDDI/FDDI Network Adapter	unknown
CRX0001	unknown	unknown	Cyrix	MediaGX	unknown
CSC0000	sound	cs4232	Crystal	PnP Audio System CODEC	HAS_DMA16|HAS_MPU401|HAS_JOYSTICK
CSC0001	joystick	unknown	Crystal	PnP Audio System Joystick	unknown
CSC0002	unknown	unknown	Crystal	CS4232 Support Registers	unknown
CSC0003	unknown	unknown	Crystal	PnP Audio System MPU-401	unknown
CSC0010	unknown	unknown	Crystal	PnP Audio System Control Registers	unknown
CSC4236	sound	unknown	Crystal	MagicSound 16bit PnP	unknown
CSC000f	joystick	unknown	Crystal	Game Port	unknown
CSCFFFF	unknown	unknown	Crystal	PnP Audio System CODEC	unknown
CSI0600	unknown	unknown	Cabletron	Systems CSI F70xx EISA FDDI Adapter Card	unknown
CSI0690	unknown	unknown	Cabletron	Systems CSI F70X9 EISA FDDI DNI Adapter Card	unknown
CSI2201	ethernet	unknown	Cabletron	DNI series E2200	unknown
CSI2202	ethernet	unknown	Cabletron	DNI series E2200	unknown
CSI2203	ethernet	unknown	Cabletron	DNI series E2200	unknown
CTL0001	sound	sb	Creative Labs	SB16	HAS_OPL3|HAS_MPU401|HAS_DMA16|HAS_JOYSTICK
CTL0021	unknown	unknown	Creative Labs	AWE (Wavetable) device	unknown
CTL0021	sound	unknown	Creative Labs	AWE32 (Wavetable) device	unknown
CTL0022	unknown	unknown	Creative Labs	AWE64 WaveTable MIDI	unknown	
CTL0023	unknown	unknown	Creative Labs	AWE64 WaveTablz MIDI	unknown
CTL0024	unknown	unknown	Creative Labs	AWE64	unknown
CTL0025	sound	sb	Creative Labs	SB16	HAS_OPL3|HAS_MPU401|HAS_DMA16
CTL0031	sound	sb	Creative Labs	SB32 PnP Audio Device	HAS_DMA16|HAS_AWE|HAS_OPL3|HAS_JOYSTICK
CTL0041	sound	sb	Creative Labs	Audio Device (V16CL/V32D/V32G)	HAS_DMA16|HAS_JOYSTICK	
CTL0042	sound	sb	Creative Labs	AWE64 16-bit Audio	HAS_DMA16|HAS_OPL3|HAS_AWE|HAS_JOYSTICK
CTL0043	sound	sb	Creative Labs	SB16	HAS_OPL3|HAS_MPU401|HAS_DMA16|HAS_JOYSTICK
CTL0044	sound	sb	Creative Labs	AWE64 Gold HAS_DMA16|HAS_OPL3|HAS_AWE|HAS_JOYSTICK
CTL0045	sound	sb	Creative Labs	AWE64 16-bit Audio	HAS_DMA16|HAS_OPL3|HAS_AWE|HAS_JOYSTICK
CTL0046	unknown	unknown	Creative Labs	AWE64 16-bit Audio	unknown	
CTL0047	unknown	unknown	Creative Labs	SB16	unknown
CTL0051	sound	unknown	Creative Labs	3D Stereo Enhancement	unknown
CTL0070	unknown	unknown	Creative Labs	ViBRA16C	unknown
CTL009D	unknown	unknown	Creative Labs	SB AWE64	unknown
CTL009E	unknown	unknown	Creative Labs	SB AWE64 Gold	unknown
CTL00C3	unknown	unknown	Creative Labs	SB AWE64	unknown
CTL00E4	unknown	unknown	Creative Labs	SB AWE64	unknown
CTL00F0	unknown	unknown	Creative Labs	SB Vibra16X	unknown
CTL1000	unknown	unknown	Creative Labs	3D Blaster	unknown
CTL1003	unknown	unknown	Creative Labs	3D Blaster	unknown
CTL1004	unknown	unknown	Creative Labs	3D Blaster	unknown
CTL1005	unknown	unknown	Creative Labs	3D Blaster	unknown
CTL1006	unknown	unknown	Creative Labs	3D Blaster	unknown
CTL2001	ide	unknown	Creative Labs	IDE Interface	unknown
CTL2002	cdrom	unknown	Creative Labs	IDE CD-ROM Drive	unknown
CTL2011	cdrom	unknown	Creative Labs	IDE CD-ROM Drive	unknown
CTL7001	joystick	unknown	Creative Labs	Joystick Controller	unknown
CTL7001	joystick	unknown	Creative Labs	Game Port	unknown
CTL7002	joystick	unknown	Creative Labs	Programmable Game Port	unknown
CTL7005	joystick	unknown	Creative Labs	Programmable Game Port	unknown
CTL8001	unknown	unknown	Creative Labs	Legacy SoundBlaster Device	unknown
CTL9011	unknown	unknown	Creative Labs	RT300 Video Blaster	unknown
CTX1451	unknown	unknown	CTX	1451	unknown
CTX1551	unknown	unknown	CTX	1551	unknown
CTX1562	unknown	unknown	CTX	1562	unknown
CTX1565	unknown	unknown	CTX	1565	unknown
CTX1765	unknown	unknown	CTX	1765	unknown
CTX1785	unknown	unknown	CTX	1785	unknown
CTX2085	unknown	unknown	CTX	2085	unknown
CTX2185	unknown	unknown	CTX	2185	unknown
DBK0000	unknown	unknown	Databook	ISA PCMCIA Controller	unknown
DBK0204	unknown	unknown	Databook	PnP PCMCIA based on DB86084	unknown
DBK0214	unknown	unknown	Databook	PnP PCMCIA based on DB86184	unknown
DBK0402	unknown	unknown	Databook	PnP PCMCIA based on DB86084	unknown
DBK1402	unknown	unknown	Databook	PnP PCMCIA based on DB86184	unknown
DEC20A0	unknown	unknown	Digital	Ethernet (DE203/DE204/DE205)	unknown
DEC3001	unknown	unknown	DEC	FDDI Controller	unknown
DEC3002	unknown	unknown	DEC	FDDI Controller	unknown
DEC4250	unknown	unknown	DEC	DE425	unknown
DEL0001	unknown	unknown	Deltec	UPS	unknown
DEL139A	unknown	unknown	Dell	Ultrascan 14XE	unknown
DEL139B	unknown	unknown	Dell	Ultrascan 14XE	unknown
DEL139C	unknown	unknown	Dell	Ultrascan 14XE	unknown
DEL139D	unknown	unknown	Dell	Ultrascan 14XE	unknown
DEL2210	unknown	unknown	Dell	Ultrascan V17X	unknown
DEL2211	unknown	unknown	Dell	Ultrascan V17X	unknown
DEL2212	unknown	unknown	Dell	Ultrascan V17X	unknown
DEL2213	unknown	unknown	Dell	Ultrascan V17X	unknown
DEL2214	unknown	unknown	Dell	Ultrascan 21TE	unknown
DEL2215	unknown	unknown	Dell	Ultrascan 21TE	unknown
DEL2216	unknown	unknown	Dell	Ultrascan 21TE	unknown
DEL2217	unknown	unknown	Dell	Ultrascan 21TE	unknown
DEL3024	unknown	unknown	Dell	VS17X	unknown
DEL3025	unknown	unknown	Dell	VS17X	unknown
DEL3026	unknown	unknown	Dell	VS17X	unknown
DEL3027	unknown	unknown	Dell	VS17X	unknown
DFX0001	modem	unknown	Dataflex	Pc Comms Office	unknown	
DLK2201	ethernet	ne	D-Link	DE-220 NE2000 compatable Network Card	unknown
DLK2201	unknown	unknown	D-Link	DE220 LAN	unknown
DMB1032	modem	unknown	Blaster	ISA Blaster Flash 56 II	unknown
DPTA401	unknown	unknown	DPT	PM2012B1 EISA SCSI Host	unknown
DPTA402	unknown	unknown	DPT	PM2012B2 EISA SCSI Host	unknown
DPTA410	unknown	unknown	DPT	PM2x22A EISA SCSI Host	unknown
DPTA411	unknown	unknown	DPT	Spectre chipset SCSI Adapters	unknown
DPTA501	unknown	unknown	DPT	PM2012B1/9x EISA SCSI Host	unknown
DPTA502	unknown	unknown	DPT	PM2012B2/9x EISA SCSI Host	unknown
DPTA701	unknown	unknown	DPT	PM2011B1/9x ISA SCSI Host	unknown
DPTBC01	unknown	unknown	DPT	ESDI Caching HDC (PM3011/7X)	unknown
DWE0215	unknown	unknown	Daewoo	CMC-1502	unknown
DWE1423	unknown	unknown	Daewoo	CMC-1423B1	unknown
DWE1427	unknown	unknown	Daewoo	CMC-1427X1	unknown
DWE1502	unknown	unknown	Daewoo	CMC-1502B1	unknown
DWE1505	unknown	unknown	Daewoo	CMC-1505X	unknown
DWE1507	unknown	unknown	Daewoo	CMC-1507X1	unknown
DWE1703	unknown	unknown	Daewoo	CMC-1703B	unknown
DXP0010	unknown	unknown	DataExpert	InterWave Synth/Codec	unknown
DXP0011	unknown	unknown	DataExpert	InterWave	unknown
DXP0013	unknown	unknown	DataExpert	InterWave FM/SB Emulation	unknown
DXP0014	unknown	unknown	DataExpert	InterWave MPU-401 Emulation	unknown
DXP0015	unknown	unknown	DataExpert	InterWave 3D Stereo Enhancer	unknown
DXP3201	unknown	unknown	DataExpert	MED3201 Audio Card	unknown
ECS0001	unknown	unknown	ECS	Vertos 1401	unknown
ECS0002	unknown	unknown	ECS	Vertos 1501	unknown
ECS0003	unknown	unknown	ECS	Vertos 1502	unknown
ECS0004	unknown	unknown	ECS	Vertos 1503	unknown
ECS0005	unknown	unknown	ECS	Vertos 1700	unknown
ECS0006	unknown	unknown	ECS	Vertos 1701	unknown
ECS0007	unknown	unknown	ECS	Vertos 1700	unknown
ECS0008	unknown	unknown	ECS	Vertos 2101	unknown
ECS0009	unknown	unknown	ECS	Vertos 2102	unknown
EIZ0200	unknown	unknown	EIZO	FlexScan F351	unknown
EIZ0201	unknown	unknown	EIZO	FlexScan F553	unknown
EIZ0202	unknown	unknown	EIZO	FlexScan F563	unknown
EIZ0203	unknown	unknown	EIZO	FlexScan F764	unknown
