@@@0001	sound	cmpci	CMD8338	C3D Audio	HAS_OPL3|HAS_DMA16
ICU1550	unknown	unknown	Accton	Etherpair-8 (EN1801)	unknown
ICU1560	unknown	unknown	Alta	EtherCombo-16 T/C	unknown
ICU1570	unknown	unknown	Cabletron	E2110	unknown
ICU1580	unknown	unknown	IBM	Token-Ring PC Adapter	unknown
ICU1581	unknown	unknown	IBM	Token-Ring PC Adapter II	unknown
ICU1590	unknown	unknown	InvisibleLAN	Ethernet Combo/2000	unknown
ICU1600	unknown	unknown	Kodiak	~16 10BT	unknown
ICU1610	unknown	unknown	Ansel	NC2000 Rev. D	unknown
ICU1620	unknown	unknown	IMC	EtherNIC/8	unknown
ICU1630	unknown	unknown	GVC	NIC-2000BT	unknown
ICU1640	unknown	unknown	Katron	16TB	unknown
ICU1650	unknown	unknown	Longshine	LCS-8634T (REV.A)	unknown
ICU1660	unknown	unknown	Madge	Smart 16/4 PC Ringnode	unknown
ICU1670	unknown	unknown	Madge	Smart AT Ringnode	unknown
ICU1680	unknown	unknown	Micom	NP600/A	unknown
ICU1690	unknown	unknown	Novell	NE1000(Assembly #950-054401)	unknown
ICU1700	unknown	unknown	Novell	RX-Net 810-114-001 (Rev. B,C and D)	unknown
ICU1710	unknown	unknown	Novell	RX-Net 810-114-001 (Rev. E,F and G)	unknown
ICU1720	unknown	unknown	Unknown	PureLAN	unknown
ICU1730	unknown	unknown	Pure	PDI515	unknown
ICU1740	unknown	unknown	Western Digital	WD8013E	unknown
ICU1750	unknown	unknown	3COM	3C501 EtherLink	unknown
ICU1751	unknown	unknown	3COM	3C509 EtherLink	unknown
ICU1900	unknown	unknown	Generic	PCMCIA to ISA Adapter with 82366SL	unknown
ICU1910	unknown	unknown	OAK	OTI-087	unknown
ICU1911	unknown	unknown	OAK	OTI-107	unknown
ICU1920	sound	mad16	Oak	Mozart Audio	HAS_MPU401|HAS_DMA16
ICU1930	sound	msnd_pinnacle	Turtle Beach	MultiSound 16-bit	HAS_DMA16
ICU1940	sound	unknown	Gateway2000	16BA,16AZ, & 16A Audio Card	unknown
ICU1950	sound	unknown	Gateway2000	16MV Sound Card	unknown
ICU1951	sound	unknown	Gateway2000	16MVL Sound Card	unknown
ICU1952	unknown	unknown	LMSI	CD_ROM Card	unknown
ICU1960	unknown	unknown	Intel	82091AA (AIP) Evaluation	unknown
ICU1970	unknown	unknown	Sony	CD-ROM	unknown
ICU1980	unknown	unknown	Mitsumi	CD-ROM (FX001D)	unknown
ICU1990	sound	sb	Cardinal	Digital Sound Pro	HAS_DMA16
ICU1991	sound	sb	Cardinal	Digital Sound Pro Plus	HAS_DMA16
ICU1992	unknown	unknown	Cardinal	Digital Sound Pro Wavetable	unknown
ICU1993	unknown	unknown	Cardinal	Digital Sound Pro Plus Wavetable	unknown
ICU1994	sound	sb	PC Logic	Sonic 16	HAS_DMA16
ICU1995	sound	sb	PC Logic	Sonic Wave	unknown
ICU19A0	unknown	unknown	Cardinal	SnapPlus Video Capture w VGA	unknown
ICU19B0	modem	unknown	Gateway2000	Telepath 14.4 ISA Modem	unknown
ICU19C0	unknown	unknown	MIO-400KF	Card	unknown
ICU19D0	ethernet	ne	Unknown	NE 2000plus	unknown
IIN0B01	unknown	unknown	Intel	TokenExpress(tm) ISA/8	unknown
INI6100	unknown	unknown	Initio	INI-6100/6102 SCSI Host	unknown
INT0011	unknown	unknown	Intel	i486 82350DT EISA Evaluation Board	unknown
INT0021	unknown	unknown	Intel	i386 82350DT EISA Evaluation Board	unknown
INT0031	unknown	unknown	Intel	i486 SX 82350DT EISA Evaluation Board	unknown
INT0051	unknown	unknown	Intel	i486 50 MHz WT 82350DT EISA Evaluation Board	unknown
INT0701	unknown	unknown	Intel	TokenExpress(tm) ISA 16/4	unknown
INT0703	unknown	unknown	Intel	TokenExpress(tm) ISA/16s	unknown
INT0902	unknown	unknown	Intel	TokenExpress EISA 16/4 Token-Ring	unknown
INT1000	unknown	unknown	Intel	EtherExpress16/16TP	unknown
INT1010	unknown	unknown	Intel	EtherExpress Flash32 Ethernet Adapter	unknown
INT1020	unknown	unknown	Intel	TokenExpress(TM) PRO	unknown
INT1028	unknown	unknown	Intel	TokenExpress(TM) ISA 16/P	unknown
INT1030	unknown	unknown	Intel	EtherExpress PRO/10 PnP	unknown
INT1031	unknown	unknown	Intel	EtherExpress(TM) PRO/10+	unknown
INT1050	unknown	unknown	Intel	Video Capture Board	unknown
INT1060	unknown	unknown	Intel	EtherExpress PRO/100 EISA	unknown
INT1070	unknown	unknown	Intel	Audio/Video Board Device 0	unknown
INT1071	unknown	unknown	Intel	Audio/Video Board Device 1	unknown
INT1080	isdn	unknown	Intel	Audio/ISDN Board	unknown
INT1201	unknown	unknown	Intel	TokenExpress 32bit EISA 16/4	unknown
INT31A0	unknown	unknown	Intel	Xxpress-Premium Motherboard	unknown
IOM0040	unknown	unknown	Iomega	Ditto Dash Accelerator	unknown
ISA0000	unknown	unknown	Standard	I/O Card (2xSerial, 1xParallel)	unknown
ISA0001	unknown	unknown	Standard	VGA Card	unknown
ISA0002	unknown	unknown	Unknown	Sound Card	unknown
ISAB701	unknown	unknown	Iomega	PC2x SCSI Adapter	unknown
ISAB702	unknown	unknown	Iomega	PC2F 8-bit SCSI Host Adapters	unknown
ISAB703	unknown	unknown	Iomega	PC1600/PC800 SCSI Adapter	unknown
ISAB704	unknown	unknown	Iomega	PC80/90 SCSI Adapter	unknown
ITC1001	unknown	unknown	Intel	i486 EISA Evaluation Board	unknown
IVM0000	unknown	unknown	Iiyama	LP-10xx ProLite	unknown
IVM0200	unknown	unknown	Iiyama	Vision Master MF-8617	unknown
IVM0300	unknown	unknown	Iiyama	Vision Master MF-8617A	unknown
IVM0400	unknown	unknown	Iiyama	MT-0017	unknown
IVM1500	unknown	unknown	Iiyama	Vision Master MF-8515G	unknown
IVM1510	unknown	unknown	Iiyama	Vision Master MF-8515F	unknown
IVM1700	unknown	unknown	Iiyama	Vision Master MF-8617E/T	unknown
IVM1701	unknown	unknown	Iiyama	Vision Master MF-8617ES	unknown
IVM1730	unknown	unknown	Iiyama	Vision Master Pro MT-9017E/T	unknown
IVM1731	unknown	unknown	Iiyama	Vision Master Pro MT-9017ES	unknown
IVM2100	unknown	unknown	Iiyama	Vision Master MF-8221E/T	unknown
IVM2130	unknown	unknown	Iiyama	Vision Master Pro MT-9021E/T	unknown
JQE9008	ethernet	ne	CNet	CN200E plus	unknown
KML0001	unknown	unknown	Mouse	Kensington Expert	unknown
KTC0201	unknown	unknown	Kingston	EtheRx KNE21xx Series	unknown
KTC2000	unknown	unknown	Kingston	EtheRx KNE20 PnP ISA Adapter	unknown
KYE0001	unknown	unknown	Genius	Easy Mouse	unknown
KYE0003	unknown	unknown	Genius	NetMouse	unknown
LCS1001	unknown	unknown	LCS-8734	Ethernet	unknown
LGI8001	unknown	unknown	Mouse	Logitech	unknown
LGI8002	unknown	unknown	Mouse	Logitech	unknown
LGI800D	unknown	unknown	Mouse	Logitech	unknown
LNE2000	ethernet	ne	Linksys	Ether16 LAN Card	unknown
MAG00E3	unknown	unknown	MAG	InnoVision DX17T	unknown
MAG11A6	unknown	unknown	MAG	InnoVision DX1495	unknown
MAG15F4	unknown	unknown	MAG	InnoVision DX1595	unknown
MAG4561	unknown	unknown	MAG	InnoVision 410V2	unknown
MAG5541	unknown	unknown	MAG	InnoVision DX500AV	unknown
MAG5620	unknown	unknown	MAG	InnoVision DX1595	unknown
MAG5624	unknown	unknown	MAG	InnoVision DX15T	unknown
MAG5662	unknown	unknown	MAG	InnoVision 510V2	unknown
MAG5743	unknown	unknown	MAG	InnoVision DJ530	unknown
MAG7626	unknown	unknown	MAG	InnoVision DX1795	unknown
MAG7663	unknown	unknown	MAG	InnoVision 710V2	unknown
MAG7740	unknown	unknown	MAG	InnoVision DX700T	unknown
MAG7746	unknown	unknown	MAG	InnoVision DJ700	unknown
MAG7747	unknown	unknown	MAG	InnoVision DJ702e	unknown
MAG7748	unknown	unknown	MAG	InnoVision DJ702e	unknown
MAG7752	unknown	unknown	MAG	InnoVision DJ707	unknown
MAG7764	unknown	unknown	MAG	InnoVision 720V2	unknown
MAG7842	unknown	unknown	MAG	InnoVision DX715T	unknown
MAG7854	unknown	unknown	MAG	InnoVision DJ717	unknown
MAG9156	unknown	unknown	MAG	InnoVision DJ920	unknown
MAG9157	unknown	unknown	MAG	InnoVision DJ925T	unknown
MDG0002	unknown	unknown	Madge	Smart 16/4 EISA Ringnode	unknown
MDG0004	unknown	unknown	Madge	Smart 16/4 EISA Ringnode Mk3	unknown
MDG0101	unknown	unknown	Madge	Smart 16/4 ISA Client PnP Ringnode	unknown
MDY1900	unknown	unknown	Microdyne	NE2500 Ethernet Adapter	unknown
MDY1901	unknown	unknown	Microdyne	NE2500T Ethernet Adapter	unknown
MEI1604	unknown	unknown	Panasonic	TX-D2151W-ES	unknown
MEI1610	unknown	unknown	Panasonic	TX-D2151NM	unknown
MEL0040	unknown	unknown	Mitsubishi	Diamond Pro 21TX (THN9105)	unknown
MEL2040	unknown	unknown	Mitsubishi	Diamond Pro 20X (FR8905)	unknown
MEL4040	unknown	unknown	Mitsubishi	Diamond Pro 17TX (TFG8705)	unknown
MEL408F	unknown	unknown	Mitsubishi	Diamond Scan 15VX (SD58xx)	unknown
MEL409F	unknown	unknown	Mitsubishi	RD15M	unknown
MEL40C0	unknown	unknown	Mitsubishi	Diamond Pro 87TXM (TFM8705)	unknown
MEL6040	unknown	unknown	Mitsubishi	Diamond Scan 17H (FFF8705)	unknown
MEL6140	unknown	unknown	Mitsubishi	Diamond Scan 17HX	unknown
MEL8040	unknown	unknown	Mitsubishi	Diamond Pro 15H (SD57xxC)	unknown
MIR0101	unknown	unknown	miroMAGIC	Intelligent Graphics Board	unknown
MIR0721	unknown	unknown	miroPROOFSCREEN	C21107	unknown
MIR0928	unknown	unknown	miroCRYSTAL / MAGIC / RAINBOW	Video Adapter	unknown
MIR6815	unknown	unknown	miro	D1568	unknown
MIR6817	unknown	unknown	miro	PROOFSCREEN C1768	unknown
MIR6917	unknown	unknown	miro	D1769	unknown
MIR8217	unknown	unknown	miro	PROOFSCREEN C1782	unknown
MIR8520	unknown	unknown	miro	PROOFSCREEN C2085 E	unknown
MIR8521	unknown	unknown	miro	PROOFSCREEN C2185	unknown
MIR9321	unknown	unknown	miro	PROOFSCREEN C2193	unknown
MON1423	unknown	unknown	Daewoo	CMC-1423B1	unknown
MON1427	unknown	unknown	Daewoo	CMC-1427X1	unknown
MON1502	unknown	unknown	Daewoo	CMC-1502B1	unknown
MON1505	unknown	unknown	Daewoo	CMC-1505X	unknown
MON1507	unknown	unknown	Daewoo	CMC-1507X1	unknown
MON1703	unknown	unknown	Daewoo	CMC-1703B	unknown
MON1704	unknown	unknown	Daewoo	CMC-1704C	unknown
MOT0000	modem	unknown	Motorola	33.6 Internal modem	unknown
MOT1190	unknown	unknown	Motorola	Lifestyle 28.8 Internal	unknown
MOT15f0	modem	unknown	Motorola	VoiceSURFR 56K Modem	
MTC0001	unknown	unknown	MITAC	1450FV	unknown
MTC0002	unknown	unknown	MITAC	1564FS/D	unknown
MTC0003	unknown	unknown	MITAC	1450FD	unknown
MTC0004	unknown	unknown	MITAC	1769FD	unknown
MTX0150	unknown	unknown	Matrox	MGA Graphics Accelerator Card	unknown
NAN0400	unknown	unknown	NANAO	USA F2-15	unknown
NAN0401	unknown	unknown	NANAO	USA F2-17	unknown
NAN0402	unknown	unknown	NANAO	USA F2-17EX	unknown
NAN0403	unknown	unknown	NANAO	USA F2-21	unknown
NAN0404	unknown	unknown	NANAO	USA FX2-21	unknown
NAN0405	unknown	unknown	NANAO	USA FlexScan T2-17TS	unknown
NAN0406	unknown	unknown	NANAO	FlexScan 6600	unknown
NAN0502	unknown	unknown	NANAO	9060S	unknown
NAN0503	unknown	unknown	NANAO	9065S	unknown
NAN0506	unknown	unknown	NANAO	9070U	unknown
NAN0507	unknown	unknown	NANAO	9080i	unknown
NAN0508	unknown	unknown	NANAO	9400i	unknown
NAN0509	unknown	unknown	NANAO	9500	unknown
NAN050A	unknown	unknown	NANAO	FlexScan F340iW	unknown
NAN050B	unknown	unknown	NANAO	FlexScan F550i	unknown
NAN050C	unknown	unknown	NANAO	FlexScan F550iW	unknown
NAN050D	unknown	unknown	NANAO	FlexScan F560iW	unknown
NAN050E	unknown	unknown	NANAO	FlexScan F750i	unknown
NAN050F	unknown	unknown	NANAO	FlexScan F760iW	unknown
NAN0510	unknown	unknown	NANAO	FlexScan F780iW	unknown
NAN0511	unknown	unknown	NANAO	FlexScan T560i	unknown
NAN0512	unknown	unknown	NANAO	FlexScan T660i	unknown
NAN0513	unknown	unknown	NANAO	USA FlexScan T2-17	unknown
NAN0514	unknown	unknown	NANAO	USA FlexScan T2-20	unknown
NAN0580	unknown	unknown	NANAO	USA FlexScan 6300	unknown
NAN0800	unknown	unknown	NANAO	FlexScan 33F	unknown
NAN0802	unknown	unknown	NANAO	FlexScan 88F	unknown
NAN0805	unknown	unknown	NANAO	FlexScan 54T	unknown
NAN0882	unknown	unknown	NANAO	FlexScan 52F	unknown
NAN0900	unknown	unknown	NANAO	FlexScan 6500	unknown
NAN0902	unknown	unknown	NANAO	9060S	unknown
NAN0906	unknown	unknown	NANAO	9070U	unknown
NAN0907	unknown	unknown	NANAO	9080i	unknown
NAN090A	unknown	unknown	NANAO	FlexScan F347	unknown
NAN090B	unknown	unknown	NANAO	FlexScan F550i	unknown
NAN090C	unknown	unknown	NANAO	FlexScan F557	unknown
NAN090F	unknown	unknown	NANAO	FlexScan 77F	unknown
NAN0910	unknown	unknown	NANAO	FlexScan F780iJ	unknown
NAN0911	unknown	unknown	NANAO	FlexScan T560iJ	unknown
NAN0912	unknown	unknown	NANAO	FlexScan T660iJ	unknown
NAN0913	unknown	unknown	NANAO	FlexScan 56T	unknown
NAN0914	unknown	unknown	NANAO	FlexScan 68T	unknown
NAN098A	unknown	unknown	NANAO	FlexScan F347II	unknown
NAN098C	unknown	unknown	NANAO	FlexScan 55F	unknown
NAN098F	unknown	unknown	NANAO	FlexScan 76F	unknown
NAN0991	unknown	unknown	NANAO	FlexScan T567	unknown
NAN0993	unknown	unknown	NANAO	FlexScan 53T	unknown
NEC2FB2	unknown	unknown	NEC	LCD200	unknown
NEC3782	unknown	unknown	NEC	LCD400	unknown
NEC37FA	unknown	unknown	NEC	MultiSync XV14	unknown
NEC37FB	unknown	unknown	NEC	MultiSync XV14	unknown
NEC3A66	unknown	unknown	NEC	MultiSync C400	unknown
NEC3C00	unknown	unknown	NEC	MultiSync XE15	unknown
NEC3C0A	unknown	unknown	NEC	MultiSync XP15	unknown
NEC3C14	unknown	unknown	NEC	MultiSync XV15	unknown
NEC3C1E	unknown	unknown	NEC	MultiSync XE15	unknown
NEC3D5E	unknown	unknown	NEC	MultiSync XV15+	unknown
NEC3D68	unknown	unknown	NEC	MultiSync M500	unknown
NEC3D86	unknown	unknown	NEC	MultiSync E500	unknown
NEC3D90	unknown	unknown	NEC	MultiSync A500	unknown
NEC3E4E	unknown	unknown	NEC	MultiSync C500	unknown
NEC43A8	unknown	unknown	NEC	MultiSync XE17	unknown
NEC43B2	unknown	unknown	NEC	MultiSync XE17	unknown
NEC43BC	unknown	unknown	NEC	MultiSync XV17/XV17+	unknown
NEC43C6	unknown	unknown	NEC	MultiSync M700	unknown
NEC43D0	unknown	unknown	NEC	MultiSync A700	unknown
NEC4416	unknown	unknown	NEC	MultiSync XP17	unknown
NEC4420	unknown	unknown	NEC	MultiSync P750	unknown
NEC442A	unknown	unknown	NEC	MultiSync XV17+ (-2)	unknown
NEC4434	unknown	unknown	NEC	MultiSync E700	unknown
NEC533E	unknown	unknown	NEC	MultiSync XE21	unknown
NEC53B6	unknown	unknown	NEC	MultiSync XP21	unknown
NEC53C0	unknown	unknown	NEC	MultiSync E1100	unknown
NEC53CA	unknown	unknown	NEC	MultiSync P1150	unknown
NEC8201	unknown	unknown	NEC	EISA SCSI Host Adapter	unknown
NIC1601	unknown	unknown	Tulip	NCC16/NCC16HUB	unknown
NIC1602	unknown	unknown	Tulip	NCC16/NCC16HUB	unknown
NMX0010	unknown	unknown	NeoMagic	MagicGraph 128 VL	unknown
NOK0085	unknown	unknown	NOKIA	449E	unknown
NOK008D	unknown	unknown	NOKIA	449M	unknown
NOK0093	unknown	unknown	NOKIA	44BS	unknown
NOK0098	unknown	unknown	NOKIA	449X	unknown
NOK00A1	unknown	unknown	NOKIA	447Xa	unknown
NOK00A2	unknown	unknown	NOKIA	447B	unknown
NOK00A3	unknown	unknown	NOKIA	447KC	unknown
NOK00A5	unknown	unknown	NOKIA	447E	unknown
NOK00A9	unknown	unknown	NOKIA	447Xi	unknown
NOK00AB	unknown	unknown	NOKIA	447KA	unknown
NOK00AC	unknown	unknown	NOKIA	447L	unknown
NOK00AD	unknown	unknown	NOKIA	447M	unknown
NOK00B1	unknown	unknown	NOKIA	417X	unknown
NOK00B2	unknown	unknown	NOKIA	417M	unknown
NOK00B4	unknown	unknown	NOKIA	417TV	unknown
NOK00B6	unknown	unknown	NOKIA	447V	unknown
NOK00B7	unknown	unknown	NOKIA	447W	unknown
NOK00B8	unknown	unknown	NOKIA	447X	unknown
NOK00BB	unknown	unknown	NOKIA	447XAV	unknown
NOK00BC	unknown	unknown	NOKIA	447K	unknown
NOK00C1	unknown	unknown	NOKIA	445XAV	unknown
NOK00C7	unknown	unknown	NOKIA	445G	unknown
NOK00C9	unknown	unknown	NOKIA	445Xi	unknown
NOK00CB	unknown	unknown	NOKIA	445K	unknown
NOK00CD	unknown	unknown	NOKIA	445M	unknown
NOK00D0	unknown	unknown	NOKIA	445P	unknown
NOK00D2	unknown	unknown	NOKIA	445R	unknown
NOK00D8	unknown	unknown	NOKIA	445X	unknown
NOK01A0	unknown	unknown	NOKIA	447Xavc	unknown
NOK01C0	unknown	unknown	NOKIA	445Xavc	unknown
NSC8400	unknown	unknown	National Semiconductor	NF3500 Network Adapter	unknown
NVL0701	unknown	unknown	Novel	EISA NE3200 Ethernet	unknown
NVL0702	unknown	unknown	Novell/Anthem	NE3200T	unknown
OEM5120	unknown	unknown	Token-Ring	Network 16/4 Adapter II	unknown
OLC0701	unknown	unknown	HP	ISA 16/4 Token-Ring (D2378A)	unknown
OLC0902	unknown	unknown	Olicom	EISA 16/4 Token-Ring	unknown
OLC1201	unknown	unknown	Olicom	32 Bit EISA 16/4 Token-Ring	unknown
OLC9430	unknown	unknown	Olicom	PnP Token-Ring ISA 16/4 (OC-3118)	unknown
OLC94A5	unknown	unknown	Olicom	Ethernet ISA/IV Adapter	unknown
OPT0000	sound	mad16	OPTi	SoundExpression SRS Sound System	HAS_JOYSTICK|HAS_DMA16|HAS_MPU401
OPT0001	joystick	unknown	OPTi	SoundExpression Game Port	unknown
OPT0002	unknown	unknown	OPTi	SoundExpression MPU-401	unknown
OPT0005	unknown	unknown	OPTi	SoundExpression SRS Sound Controller	unknown
OPT0006	unknown	unknown	OPTi	PNP COM Port	unknown
OPT0007	ide	unknown	OPTi	PNP IDE Controller	unknown
OPT0931	sound	mad16	OPTi	86C931 Audio Card	HAS_DMA16|HAS_MPU401
OPT9300	sound	mad16	OPTi	930 Sound/OPL3 Device	HAS_DMA16|HAS_MPU401
OPT9301	unknown	unknown	OPTi	930 MPU-401 Device	unknown
OPT9310	sound	mad16	OPTi	PNP Sound System	HAS_DMA16|HAS_MPU401
OQI3138	unknown	unknown	OptiQuest	VA656	unknown
OQI3232	unknown	unknown	OptiQuest	1562A	unknown
OQI3233	unknown	unknown	OptiQuest	1769DC	unknown
OQI3234	unknown	unknown	OptiQuest	1000S	unknown
OQI3332	unknown	unknown	OptiQuest	V655	unknown
OQI3333	unknown	unknown	OptiQuest	V775	unknown
OQI3432	unknown	unknown	OptiQuest	V650	unknown
OQI4131	unknown	unknown	OptiQuest	V641	unknown
OQI4431	unknown	unknown	OptiQuest	V651	unknown
OQI4432	unknown	unknown	OptiQuest	V655	unknown
OQI4637	unknown	unknown	OptiQuest	1769DC	unknown
OQI4731	unknown	unknown	OptiQuest	V770	unknown
OQI4732	unknown	unknown	OptiQuest	V775	unknown
PCT2880	unknown	unknown	PCtel	HSP 336-Deluxe PnP	unknown
PGS003A	unknown	unknown	Princeton	EO14	unknown
PGS003B	unknown	unknown	Princeton	EO15	unknown
PGS003C	unknown	unknown	Princeton	EO75	unknown
PGS003D	unknown	unknown	Princeton	EO17	unknown
PGS003E	unknown	unknown	Princeton	Ultra 17+	unknown
PGS003F	unknown	unknown	Princeton	Ultra 20	unknown
PGS0049	unknown	unknown	Princeton	Ultra 70F	unknown
PGS004D	unknown	unknown	Princeton	Ultra 50	unknown
PGS004E	unknown	unknown	Princeton	EO40	unknown
PGS004F	unknown	unknown	Princeton	EO50	unknown
PGS0050	unknown	unknown	Princeton	EO70	unknown
PGS0051	unknown	unknown	Princeton	Ultra 40	unknown
PGS0052	unknown	unknown	Princeton	EO72	unknown
PGS0055	unknown	unknown	Princeton	EO74/74T	unknown
PGS0056	unknown	unknown	Princeton	EO76/76T	unknown
PHL0045	unknown	unknown	Philips	Brilliance AX4500	unknown
PHL0107	unknown	unknown	Philips	Brilliance 107 (CM8800)	unknown
PHL0200	unknown	unknown	Philips	CM0200 (15C)	unknown
PHL0201	unknown	unknown	Philips	Brilliance 201CS	(CM0900)	unknown
PHL0500	unknown	unknown	Philips	CM0500 (20C)	unknown
PHL0700	unknown	unknown	Philips	CM0700 (20T)	unknown
PHL0800	unknown	unknown	Philips	CM0800 (15B)	unknown
PHL1021	unknown	unknown	Philips	201B	unknown
PHL104B	unknown	unknown	Philips	104B (CM1300)	unknown
PHL105A	unknown	unknown	Philips	Brilliance 105 (CM2200)	unknown
PHL105B	unknown	unknown	Philips	105B (CM1200)	unknown
PHL105C	unknown	unknown	Philips	105S (CM1300)	unknown
PHL107B	unknown	unknown	Philips	107B (CM6800)	unknown
PHL107C	unknown	unknown	Philips	107S (CM6800)	unknown
PHL1107	unknown	unknown	Philips	Brilliance 107	unknown
PHL1109	unknown	unknown	Philips	Brilliance 109	unknown
PHL1121	unknown	unknown	Philips	Brilliance 201	unknown
PHL114B	unknown	unknown	Magnavox	MB4010 (CM1300)	unknown
PHL115B	unknown	unknown	Magnavox	MB5314 (CM1200)	unknown
PHL115C	unknown	unknown	Magnavox	MV5011 (CM1300)	unknown
PHL1200	unknown	unknown	Philips	CM1200 (15A)	unknown
PHL1800	unknown	unknown	Philips	CM1800 (15A)	unknown
PHL2000	unknown	unknown	Philips	CM0200 (14B)	unknown
PHL200B	unknown	unknown	Philips	200B (CM5600)	unknown
PHL200D	unknown	unknown	Philips	200T (CM0700)	unknown
PHL201A	unknown	unknown	Philips	Brilliance 201 (CM1700)	unknown
PHL201B	unknown	unknown	Philips	201B (CM0770)	unknown
PHL207C	unknown	unknown	Philips	17C6822E (107S)	unknown
PHL2600	unknown	unknown	Philips	17TCM26	unknown
PHL2800	unknown	unknown	Philips	17BCM28	unknown
PHL3800	unknown	unknown	Philips	17ACM38	unknown
PHL4500	unknown	unknown	Philips	Brilliance AX4500	unknown
PHL5600	unknown	unknown	Philips	CM5600 (200B)	unknown
PHL6800	unknown	unknown	Philips	107B (CM6800)	unknown
PHL700B	unknown	unknown	Philips	CM0700 (21B)	unknown
PHL8000	unknown	unknown	Philips	CM0800 (14A)	unknown
PHLA15B	unknown	unknown	Philips	105B (CM1300)	unknown
PHLA17B	unknown	unknown	Magnavox	MB7000 (CM6800)	unknown
PHLA17C	unknown	unknown	Philips	107S (CM1300)	unknown
PNP0000	unknown	unknown	AT	Interrupt Controller	unknown
PNP0001	unknown	unknown	EISA	Interrupt Controller	unknown
PNP0002	unknown	unknown	MCA	Interrupt Controller	unknown
PNP0003	unknown	unknown	Unknown	APIC	unknown
PNP0004	unknown	unknown	Cyrix	SLiC MP interrupt controller	unknown
PNP0100	unknown	unknown	AT	Timer	unknown
PNP0101	unknown	unknown	EISA	Timer	unknown
PNP0102	unknown	unknown	MCA	Timer	unknown
PNP0200	unknown	unknown	AT DMA	Controller	unknown
PNP0201	unknown	unknown	EISA DMA	Controller	unknown
PNP0202	unknown	unknown	MCA DMA	Controller	unknown
PNP0300	unknown	unknown	IBM	PC/XT keyboard controller (83-key)	unknown
PNP0301	unknown	unknown	IBM	PC/AT keyboard controller (86-key)	unknown
PNP0302	unknown	unknown	IBM	PC/XT keyboard controller (84-key)	unknown
PNP0303	unknown	unknown	IBM	Enhanced keyboard controller (101/2-key)	unknown
PNP0304	unknown	unknown	Olivetti	Keyboard (83-key)	unknown
PNP0305	unknown	unknown	Olivetti	Keyboard (102-key)	unknown
PNP0306	unknown	unknown	Olivetti	Keyboard (86-key)	unknown
PNP0307	unknown	unknown	Microsoft Windows(R)	Keyboard	unknown
PNP0308	unknown	unknown	General	Input Device Emulation Interface (GIDEI)	unknown
PNP0309	unknown	unknown	Olivetti	Keyboard (A101/102 key)	unknown
PNP030A	unknown	unknown	AT&T	302 keyboard	unknown
PNP030B	unknown	unknown	Unknown	Reserved by Microsoft	unknown
PNP0320	unknown	unknown	Japanese	106-key keyboard A01	unknown
PNP0321	unknown	unknown	Japanese	101-key keyboard	unknown
PNP0322	unknown	unknown	Japanese	AX keyboard	unknown
PNP0323	unknown	unknown	Japanese	106-key keyboard 002/003	unknown
PNP0324	unknown	unknown	Japanese	106-key keyboard 001	unknown
PNP0325	unknown	unknown	Japanese	Toshiba Desktop keyboard	unknown
PNP0326	unknown	unknown	Japanese	Toshiba Laptop keyboard	unknown
PNP0327	unknown	unknown	Japanese	Toshiba Notebook keyboard	unknown
PNP0340	unknown	unknown	Korean	84-key keyboard	unknown
PNP0341	unknown	unknown	Korean	86-key keyboard	unknown
PNP0342	unknown	unknown	Korean	Enhanced keyboard	unknown
PNP0343	unknown	unknown	Korean	Enhanced keyboard 101b/c	unknown
PNP0344	unknown	unknown	Korean	Enhanced keyboard 103	unknown
PNP0400	unknown	unknown	Standard	LPT printer port	unknown
PNP0401	unknown	unknown	ECP	printer port	unknown
PNP0500	unknown	unknown	Standard	PC COM port	unknown
PNP0501	unknown	unknown	16550A-compatible	COM port	unknown
PNP0502	unknown	unknown	Multiport	serial device (non-intelligent 16550)	unknown
PNP0510	unknown	unknown	Generic	IRDA-compatible device	unknown
PNP0600	ide	unknown	Generic	ESDI/IDE/ATA compatible hard disk controller	unknown
PNP0601	unknown	unknown	Plus	Hardcard II	unknown
PNP0602	unknown	unknown	Plus	Hardcard IIXL/EZ	unknown
PNP0603	unknown	unknown	Generic	IDE supporting Microsoft Device Bay	unknown
PNP0604	unknown	unknown	PC standard	floppy disk controller	unknown
PNP0605	unknown	unknown	HP	Omnibook floppy disk controller		unknown
PNP0680	ide	unknown	Bus Master	E-IDE controller	unknown
PNP0700	unknown	unknown	PC standard	floppy disk controller	unknown
PNP0701	unknown	unknown	Standard	floppy controller supporting MS Device Bay	unknown
PNP0800	unknown	unknown	AT	standard speaker sound	unknown
PNP0802	unknown	unknown	Microsoft	Sound System compatible device	unknown
PNP0900	unknown	unknown	VGA	Compatible	unknown
PNP0901	unknown	unknown	Video Seven	VRAM/VRAM II/1024i 	unknown
PNP0902	unknown	unknown	8514/A	Compatible	unknown
PNP0903	unknown	unknown	Trident	VGA	unknown
PNP0904	unknown	unknown	Cirrus Logic	Laptop VGA	unknown
PNP0905	unknown	unknown	Cirrus Logic	VGA	unknown
PNP0906	unknown	unknown	Tseng Labs	ET4000	unknown
PNP0907	unknown	unknown	Western Digital	VGA	unknown
PNP0908	unknown	unknown	Western Digital	Laptop VGA	unknown
PNP0909	unknown	unknown	S3 Inc.	911/924 VGA	unknown
